match_date,Venue,GF,GA,xG,xGA
2018-08-11,Home,2,0,2.2,1.4
2018-08-18,Away,2,1,1.3,1.2
2018-08-25,Home,2,2,2.2,0.6
2018-09-01,Away,0,2,0.9,1.1
2018-09-15,Home,4,2,2.3,2.3
2018-09-22,Away,0,4,1.0,2.1
2018-10-01,Home,2,1,1.8,0.4
2018-10-06,Away,4,0,3.2,1.0
2018-10-20,Home,0,0,0.9,0.5
2018-10-27,Away,3,0,2.0,0.5
2018-11-03,Home,1,2,1.6,3.0
2018-11-10,Away,1,2,1.6,2.2
2018-11-25,Home,1,2,0.6,1.6
2018-12-01,Away,1,3,0.6,2.6
2018-12-04,Home,2,1,0.9,1.8
2018-12-08,Home,0,4,0.3,1.6
2018-12-15,Away,0,2,0.6,1.8
2018-12-22,Home,2,0,0.8,0.8
2018-12-26,Away,0,5,1.1,1.7
2018-12-30,Away,1,4,0.5,2.9
2019-01-02,Home,3,3,2.2,0.9
2019-01-13,Away,0,2,1.9,1.0
2019-01-19,Home,2,0,1.1,1.1
2019-01-30,Home,4,0,2.0,0.7
2019-02-02,Away,0,2,0.5,2.1
2019-02-09,Away,0,3,0.4,2.0
2019-02-23,Home,1,1,2.4,1.5
2019-02-27,Away,1,5,0.9,2.5
2019-03-02,Home,0,1,0.0,1.2
2019-03-09,Away,2,0,1.9,0.3
2019-03-16,Home,2,2,1.3,1.1
2019-03-30,Away,0,2,0.8,1.3
2019-04-06,Home,1,3,1.1,1.2
2019-04-13,Away,5,0,2.5,0.3
2019-04-20,Home,0,1,2.2,2.5
2019-04-27,Away,3,3,2.3,2.5
2019-05-04,Home,1,0,1.7,0.7
2019-05-12,Away,3,5,1.6,2.8
