element,name,position,GW,was_home,played,minutes_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_game,form,ict_per_game,ict_form,bps_per_game,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game,opp_team_goals_scored_form,opp_team_goals_conceded_form,opp_team_goalless_games_per_game,opp_team_clean_sheets_per_game
127,Aaron Connolly,FWD,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,2.096875,1.0,0.95,2.8,1.0,0.09375,0.28125
530,Aaron Cresswell,DEF,34,0,0,8.363636363636363,0.0,36.0,0.0,0.0,6.0,8.4,0.8571428571428571,0.4,1.5,0.18,6.714285714285714,1.15625,1.1749999999999998,1.6875,1.453125,1.0,1.4,0.21875,0.21875
104,Aaron Hickey,DEF,34,0,0,21.606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,1.4333333333333333,0.0,9.666666666666666,1.393939393939394,1.1515151515151516,2.121212121212121,2.0545454545454547,1.0,2.2,0.15151515151515152,0.06060606060606061
17,Aaron Ramsdale,GKP,34,0,0,16.875,0.0,0.0,0.0,0.0,90.0,18.0,3.3333333333333335,0.6,1.2166666666666666,0.33999999999999997,15.0,1.4375,1.3343749999999999,1.59375,1.6625,1.2,1.6,0.1875,0.15625
17,Aaron Ramsdale,GKP,34,1,0,16.875,0.0,0.0,0.0,0.0,90.0,18.0,3.3333333333333335,0.6,1.2166666666666666,0.33999999999999997,15.0,1.967741935483871,1.9612903225806453,1.6774193548387097,1.4967741935483871,3.4,1.8,0.16129032258064516,0.1935483870967742
675,Aaron Ramsey,MID,34,0,0,16.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.9071428571428571,0.0,4.428571428571429,0.9375,0.940625,2.625,1.925,1.6,2.4,0.40625,0.03125
401,Aaron Wan-Bissaka,DEF,34,1,0,38.8125,90.0,90.0,90.0,90.0,0.0,72.0,2.1875,1.2,2.95625,3.0,14.875,0.9375,0.940625,2.625,1.925,1.6,2.4,0.40625,0.03125
249,Abdoulaye Doucoure,MID,34,1,0,67.21875,90.0,90.0,59.0,71.0,60.0,74.0,3.6538461538461537,1.8,5.246153846153846,2.8,10.5,1.2727272727272727,1.2878787878787878,1.7575757575757576,1.4242424242424243,1.6,1.6,0.24242424242424243,0.12121212121212122
249,Abdoulaye Doucoure,MID,34,1,0,67.21875,90.0,90.0,59.0,71.0,60.0,74.0,3.6538461538461537,1.8,5.246153846153846,2.8,10.5,2.25,2.296875,0.96875,1.196875,1.6,1.2,0.0625,0.28125
190,Abdul Rahman Baba,DEF,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34375,1.971875,0.8125,0.690625,1.4,0.6,0.15625,0.4375
479,Adam Davies,GKP,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.012121212121212,2.0606060606060606,1.7303030303030305,1.2,1.2,0.36363636363636365,0.06060606060606061
479,Adam Davies,GKP,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46875,1.478125,1.5,1.8406250000000002,2.0,1.8,0.21875,0.25
138,Adam Lallana,MID,34,1,0,23.0625,13.0,0.0,63.0,7.0,10.0,18.6,1.2173913043478262,1.0,1.826086956521739,1.28,3.9130434782608696,2.375,2.096875,1.0,0.95,2.8,1.0,0.09375,0.28125
84,Adam Smith,DEF,34,0,0,54.84375,69.0,90.0,89.0,90.0,70.0,81.6,2.652173913043478,3.2,2.5130434782608693,3.4799999999999995,13.173913043478262,2.0606060606060606,1.6939393939393939,1.4848484848484849,1.512121212121212,1.8,1.6,0.12121212121212122,0.24242424242424243
84,Adam Smith,DEF,34,0,0,54.84375,69.0,90.0,89.0,90.0,70.0,81.6,2.652173913043478,3.2,2.5130434782608693,3.4799999999999995,13.173913043478262,1.4375,1.3343749999999999,1.59375,1.6625,1.2,1.6,0.1875,0.15625
153,Adam Webster,DEF,34,1,0,23.9375,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.69,0.0,14.2,2.375,2.096875,1.0,0.95,2.8,1.0,0.09375,0.28125
807,Adam Wharton,MID,34,1,0,79.8,90.0,90.0,85.0,79.0,80.0,84.8,2.7,3.0,3.56,3.38,13.7,1.5757575757575757,1.393939393939394,1.7575757575757576,1.8454545454545455,1.4,1.8,0.21212121212121213,0.15151515151515152
807,Adam Wharton,MID,34,1,0,79.8,90.0,90.0,85.0,79.0,80.0,84.8,2.7,3.0,3.56,3.38,13.7,2.15625,1.91875,1.625,1.6906249999999998,2.4,1.4,0.125,0.3125
662,Adama Traore,MID,34,1,0,6.53125,1.0,25.0,57.0,27.0,0.0,22.0,1.7692307692307692,1.4,2.0846153846153848,1.8799999999999997,5.384615384615385,2.25,2.296875,0.96875,1.196875,1.6,1.2,0.0625,0.28125
720,Ademola Ola-Adebomi,FWD,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5757575757575757,1.393939393939394,1.7575757575757576,1.8454545454545455,1.4,1.8,0.21212121212121213,0.15151515151515152
720,Ademola Ola-Adebomi,FWD,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15625,1.91875,1.625,1.6906249999999998,2.4,1.4,0.125,0.3125
327,Admiral Muskwe,FWD,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4242424242424243,1.5575757575757578,1.7575757575757576,1.4909090909090907,1.4,1.2,0.18181818181818182,0.18181818181818182
289,Adrian San Miguel del Castillo,GKP,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4848484848484849,1.4060606060606062,1.5454545454545454,1.6727272727272726,1.8,1.4,0.3333333333333333,0.2727272727272727
289,Adrian San Miguel del Castillo,GKP,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.465625,1.5,1.471875,0.6,2.2,0.375,0.28125
648,Aidan Francis-Clarke,DEF,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4242424242424243,1.5575757575757578,1.7575757575757576,1.4909090909090907,1.4,1.2,0.18181818181818182,0.18181818181818182
21,Albert Sambi Lokonga,MID,34,1,0,25.705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,2.6999999999999997,0.0,12.166666666666666,1.4242424242424243,1.5575757575757578,1.7575757575757576,1.4909090909090907,1.4,1.2,0.18181818181818182,0.18181818181818182
382,Alejandro Garnacho,MID,34,1,0,63.5,45.0,79.0,85.0,58.0,82.0,69.8,3.8333333333333335,6.0,5.913333333333333,5.300000000000001,10.966666666666667,0.9375,0.940625,2.625,1.925,1.6,2.4,0.40625,0.03125
