web_name,club,position
Aarons,NEW,MID
Abraham,SWA,FWD
Adam,STK,MID
Adam Smith,BOU,DEF
Adarabioyo,MCI,DEF
Adrian,WHU,GKP
Afellay,STK,MID
Afobe,BOU,FWD
Aguero,MCI,FWD
Ake,BOU,DEF
Albrighton,LEI,MID
Alderweireld,TOT,DEF
Alexander-Arnold,LIV,DEF
Allen,STK,MID
Alli,TOT,MID
Alonso,CHE,DEF
Amartey,LEI,MID
Ampadu,CHE,MID
Amrabat,WAT,MID
Anderson,CRY,FWD
Andre Ayew,SWA,MID
Antonio,WHU,MID
Arfield,BUR,MID
Arnautovic,WHU,MID
Arter,BOU,MID
Atsu,NEW,MID
Aubameyang,ARS,FWD
Aurier,TOT,DEF
Austin,SOU,FWD
Azpilicueta,CHE,DEF
Bachmann,WAT,GKP
Badou Ndiaye,STK,MID
Bailly,MUN,DEF
Baines,EVE,DEF
Bakayoko,CHE,MID
Baldock,BHA,FWD
Baningime,EVE,MID
Bardsley,BUR,DEF
Barkley,CHE,MID
Barnes,BUR,FWD
Barnes,LEI,MID
Barrow,SWA,MID
Barry,WBA,MID
Bartley,SWA,DEF
Batshuayi,CHE,FWD
Bauer,STK,DEF
Bednarek,SOU,DEF
Begovic,BOU,GKP
Behrami,WAT,MID
Bellerin,ARS,DEF
Benalouane,LEI,DEF
Benteke,CRY,FWD
Berahino,STK,FWD
Berghuis,WAT,MID
Bernardo Silva,MCI,MID
Bertrand,SOU,DEF
Besic,EVE,MID
Billing,HUD,MID
Blind,MUN,DEF
Boga,CHE,MID
Bojan,STK,MID
Bolasie,EVE,MID
Bong,BHA,DEF
Bony,SWA,FWD
Boruc,BOU,GKP
Boufal,SOU,MID
Brad Smith,BOU,DEF
Brady,BUR,MID
Bravo,MCI,GKP
Britos,WAT,DEF
Britton,SWA,MID
Brown,BHA,MID
Browne,WHU,MID
Bruno,BHA,DEF
Brunt,WBA,MID
Bunn,HUD,MID
Burke,WBA,MID
Burke,WHU,DEF
Butcher,BOU,MID
Butland,STK,GKP
Byram,WHU,DEF
Caballero,CHE,GKP
Cabaye,CRY,MID
Cahill,CHE,DEF
Calvert-Lewin,EVE,FWD
Camacho,LIV,MID
Cameron,STK,DEF
Campbell,STK,FWD
Can,LIV,MID
Capoue,WAT,MID
Carrick,MUN,MID
Carrillo,SOU,FWD
Carrillo,WAT,MID
Carroll,SWA,MID
Carroll,WHU,FWD
Carter-Vickers,TOT,DEF
Cathcart,WAT,DEF
Cavalieri,CRY,GKP
Cazorla,ARS,MID
Cech,ARS,GKP
Chadli,WBA,MID
Chalobah,CHE,DEF
Chalobah,WAT,MID
Chamberlain,LIV,MID
Chambers,ARS,DEF
Chicharito,WHU,FWD
Chilwell,LEI,DEF
Choudhury,LEI,MID
Choupo-Moting,STK,MID
Christensen,CHE,DEF
Clark,NEW,DEF
Clasie,SOU,MID
Cleverley,WAT,MID
Clucas,SWA,MID
Clyne,LIV,DEF
Colback,NEW,MID
Coleman,EVE,DEF
Coleman,HUD,GKP
Collins,WHU,DEF
Coquelin,ARS,MID
Cork,BUR,MID
Costa,CHE,FWD
Courtois,CHE,GKP
Coutinho,LIV,MID
Cranie,HUD,DEF
Cresswell,WHU,DEF
Crouch,STK,FWD
Cullen,WHU,MID
Cedric,SOU,DEF
Daly,CRY,FWD
Daniels,BOU,DEF
Danilo,MCI,DEF
Dann,CRY,DEF
Darlow,NEW,GKP
Darmian,MUN,DEF
David Luiz,CHE,DEF
David Silva,MCI,MID
Davies,EVE,MID
Davies,TOT,DEF
Davis,SOU,MID
Dawson,WBA,DEF
De Bruyne,MCI,MID
De Gea,MUN,GKP
de Jong,NEW,MID
Debuchy,ARS,DEF
Deeney,WAT,FWD
Defoe,BOU,FWD
Defour,BUR,MID
Delaney,CRY,DEF
Delph,MCI,MID
Dembele,TOT,MID
Depoitre,HUD,FWD
Deulofeu,WAT,MID
Diabate,LEI,FWD
Diame,NEW,MID
Diangana,WHU,MID
Diaz,MCI,MID
Dier,TOT,MID
Diouf,STK,FWD
Doucoure,WAT,MID
Dragovic,LEI,DEF
Drinkwater,CHE,MID
Dubravka,NEW,GKP
Duffy,BHA,DEF
Dummett,NEW,DEF
Dunk,BHA,DEF
Dyer,SWA,MID
Ederson,MCI,GKP
Eduardo,CHE,GKP
Edwards,STK,DEF
Elliot,NEW,GKP
Elneny,ARS,MID
Emerson,CHE,DEF
Eriksen,TOT,MID
Evans,WBA,DEF
Evra,WHU,DEF
Fabianski,SWA,GKP
Federici,BOU,GKP
Feghouli,WHU,MID
Fellaini,MUN,MID
Fer,SWA,MID
Ferguson,WBA,DEF
Fernandes,WHU,MID
Fernandinho,MCI,MID
Fernando,MCI,MID
Fernandez,SWA,DEF
Field,WBA,MID
Firmino,LIV,FWD
Flanagan,LIV,DEF
Fletcher,STK,MID
Fletcher,WHU,FWD
Foden,MCI,MID
Folivi,WAT,FWD
Fonte,WHU,DEF
Forster,SOU,GKP
Foster,WBA,GKP
Fosu-Mensah,CRY,DEF
Foyth,TOT,DEF
Francis,BOU,DEF
Fraser,BOU,MID
Fuchs,LEI,DEF
Fulton,SWA,MID
Funes Mori,EVE,DEF
Fabregas,CHE,MID
Gabbiadini,SOU,FWD
Gabr,WBA,DEF
Gabriel,ARS,DEF
Garbutt,EVE,DEF
Gayle,NEW,FWD
Gazzaniga,TOT,GKP
Gibbs,WBA,DEF
Giroud,CHE,FWD
Goldson,BHA,DEF
Gomes,WAT,GKP
Gomez,LIV,DEF
Gosling,BOU,MID
Gouffran,NEW,MID
Gradel,BOU,MID
Grant,STK,GKP
Gray,LEI,MID
Gray,WAT,FWD
Green,HUD,GKP
Gross,BHA,MID
Grujic,LIV,MID
Gudmundsson,BUR,MID
Gueye,EVE,MID
Gamez,NEW,DEF
Gundogan,MCI,MID
Hadergjonaj,HUD,DEF
Haidara,NEW,DEF
Haksabanovic,WHU,MID
Hamer,LEI,GKP
Hanley,NEW,DEF
Harper,WBA,MID
Hart,WHU,GKP
Haugaard,STK,GKP
Hayden,NEW,MID
Hazard,CHE,MID
Heaton,BUR,GKP
Hefele,HUD,DEF
Hegazi,WBA,DEF
Hemed,BHA,FWD
Henderson,LIV,MID
Hendrick,BUR,MID
Hennessey,CRY,GKP
Henry,CRY,GKP
Herrera,MUN,MID
Hoedt,SOU,DEF
Hogg,HUD,MID
Holding,ARS,DEF
Holebas,WAT,DEF
Holgate,EVE,DEF
Hudson,HUD,DEF
Hudson-Odoi,CHE,MID
Hughes,LEI,DEF
Hughes,WAT,MID
Hugill,WHU,FWD
Huth,LEI,DEF
Hyndman,BOU,MID
Hojbjerg,SOU,MID
Hunemeier,BHA,DEF
Ibe,BOU,MID
Iborra,LEI,MID
Ibrahimovic,MUN,FWD
Iheanacho,LEI,FWD
Imbula,STK,MID
Ince,HUD,MID
Ings,LIV,FWD
Ireland,STK,MID
Iwobi,ARS,MID
Izquierdo,BHA,MID
Jach,CRY,DEF
Jagielka,EVE,DEF
Jakupovic,LEI,GKP
James,LEI,MID
Jameson,WBA,DEF
Janmaat,WAT,DEF
Janssen,TOT,FWD
Jenkinson,ARS,DEF
Jesus,MCI,FWD
Jese,STK,MID
Joel Pereira,MUN,GKP
Johnson,STK,DEF
Johnson,WHU,MID
Jones,LIV,MID
Jones,MUN,DEF
Jordan Ayew,SWA,FWD
Joselu,NEW,FWD
Joao Mario,WHU,MID
Kabasele,WAT,DEF
Kaboul,WAT,DEF
Kachunga,HUD,MID
Kaikai,CRY,MID
Kane,TOT,FWD
Kante,CHE,MID
Karius,LIV,GKP
Karnezis,WAT,GKP
Kayal,BHA,MID
Keane,EVE,DEF
Kelly,CRY,DEF
Kenedy,NEW,MID
Kenny,EVE,DEF
Ki Sung-yueng,SWA,MID
Kiko Femenia,WAT,DEF
King,BOU,FWD
King,SWA,MID
Kingsley,SWA,DEF
Kirby,CRY,MID
Klaassen,EVE,MID
Klavan,LIV,DEF
Knockaert,BHA,MID
Kolarov,MCI,DEF
Kolasinac,ARS,DEF
Kompany,MCI,DEF
Kongolo,HUD,DEF
Koscielny,ARS,DEF
Kouyate,WHU,MID
Krul,BHA,GKP
Krychowiak,WBA,MID
Lacazette,ARS,FWD
Ladapo,CRY,FWD
Lallana,LIV,MID
Lamela,TOT,MID
Lanzini,WHU,MID
Laporte,MCI,DEF
Lascelles,NEW,DEF
Lee Chung-yong,CRY,MID
Legzdins,BUR,GKP
Lejeune,NEW,DEF
Leko,WBA,MID
Lemina,SOU,MID
Lennon,BUR,MID
Lewis Cook,BOU,MID
Lindegaard,BUR,GKP
Lindelof,MUN,DEF
Lingard,MUN,MID
Livermore,WBA,MID
Llorente,TOT,FWD
Lloris,TOT,GKP
Locadia,BHA,FWD
Loftus-Cheek,CRY,MID
Lokilo,CRY,MID
Lolley,HUD,MID
Long,BUR,DEF
Long,SOU,FWD
Lookman,EVE,MID
Lovren,LIV,DEF
Lowton,BUR,DEF
Lucas,LIV,MID
Lucas Moura,TOT,MID
Lukaku,MUN,FWD
Lukebakio,WAT,MID
Lumeka,CRY,MID
Lossl,HUD,GKP
Lowe,HUD,DEF
Macey,ARS,GKP
Maguire,LEI,DEF
Mahoney,BOU,MID
Mahrez,LEI,MID
Maitland-Niles,ARS,MID
Makasi,WHU,MID
Malone,HUD,DEF
Mangala,EVE,DEF
Manquillo,NEW,DEF
Mane,LIV,MID
March,BHA,MID
Mariappa,WAT,DEF
Marney,BUR,MID
Martial,MUN,MID
Martina,EVE,DEF
Martinez,ARS,GKP
Martins Indi,STK,DEF
Martinez,WHU,FWD
Mason,WAT,DEF
Masterson,LIV,DEF
Masuaku,WHU,DEF
Mata,MUN,MID
Matic,MUN,MID
Matip,LIV,DEF
Mavropanos,ARS,DEF
Mawson,SWA,DEF
Mbemba,NEW,DEF
McArthur,CRY,MID
McAuley,WBA,DEF
McBurnie,SWA,FWD
McCarthy,EVE,MID
McCarthy,SOU,GKP
McClean,WBA,MID
McNeil,BUR,FWD
McQueen,SOU,DEF
McTominay,MUN,MID
Mee,BUR,DEF
Melbourne,WBA,DEF
Mendy,LEI,MID
Mendy,MCI,DEF
Merino,NEW,MID
Mertesacker,ARS,DEF
Mesa,SWA,MID
Mignolet,LIV,GKP
Milivojevic,CRY,MID
Milner,LIV,DEF
Mings,BOU,DEF
Mirallas,EVE,MID
Mitrovic,NEW,FWD
Mkhitaryan,ARS,MID
Molumby,BHA,MID
Monreal,ARS,DEF
Montero,SWA,MID
Mooy,HUD,MID
Morata,CHE,FWD
Moreno,LIV,DEF
Morgan,LEI,DEF
Morrison,WBA,MID
Moses,CHE,DEF
Mounie,HUD,FWD
Mousset,BOU,FWD
Mukena,WAT,DEF
Mulder,SWA,GKP
Muniesa,STK,DEF
Murphy,BHA,MID
Murphy,NEW,FWD
Murphy,NEW,MID
Murray,BHA,FWD
Musa,LEI,MID
